FIPS,State,County,DIRSALES_FARMS12,PCT_LOCLFARM12,PCT_LOCLSALE12,DIRSALES12,PC_DIRSALES12,FMRKT18,FMRKTPTH18,FMRKT_SNAP18,PCT_FMRKT_SNAP18,FMRKT_WIC18,PCT_FMRKT_WIC18,FMRKT_WICCASH18,PCT_FMRKT_WICCASH18,FMRKT_SFMNP18,PCT_FMRKT_SFMNP18,FMRKT_CREDIT18,PCT_FMRKT_CREDIT18,FMRKT_FRVEG18,PCT_FMRKT_FRVEG18,FMRKT_ANMLPROD18,PCT_FMRKT_ANMLPROD18,FMRKT_BAKED18,PCT_FMRKT_BAKED18,FMRKT_OTHERFOOD18,PCT_FMRKT_OTHERFOOD18,VEG_FARMS12,VEG_ACRES12,VEG_ACRESPTH12,FRESHVEG_FARMS12,FRESHVEG_ACRES12,FRESHVEG_ACRESPTH12,ORCHARD_FARMS12,ORCHARD_ACRES12,ORCHARD_ACRESPTH12,BERRY_FARMS12,BERRY_ACRES12,BERRY_ACRESPTH12,SLHOUSE12,GHVEG_FARMS12,GHVEG_SQFT12,GHVEG_SQFTPTH12,FOODHUB18,CSA12,AGRITRSM_OPS12,AGRITRSM_RCT12,FARM_TO_SCHOOL15
37047,NC,Columbus,32,4.377564979,0.06666056,131,2.275411658,2,0.035935674,0,0,1,50,0,0,1,50,1,50,1,50,1,50,1,50,1,50,33,3048,45.2650594,26,2650,46.02931981,29,205,3.560758702,19,78,1.354825262,0,1,,,,7,2,,1
37049,NC,Craven,17,6.640625,0.390948726,217,2.060250458,2,0.01943408,1,50,0,0,0,0,0,0,2,100,2,100,1,50,1,50,2,100,15,52,0.645608438,15,,,0,0,0,5,150,1.424136261,0,4,24404,231.6974755,,2,5,36000,1
37051,NC,Cumberland,37,9.511568123,0.217578013,228,0.70556998,1,0.003009057,0,0,0,0,0,0,0,0,1,100,1,100,0,0,1,100,0,0,23,1820,7.690093859,23,,,24,110,0.340406569,8,14,0.043324472,2,2,,,,1,4,17000,1
37053,NC,Currituck,15,18.29268293,1.066707892,276,11.48468708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,117,18.18408788,15,117,4.868508655,9,97,4.036284953,8,10,0.416111851,0,0,0,0,,1,3,,0
37055,NC,Dare,0,0,0,0,0,2,0.054793019,0,0,0,0,0,0,0,0,1,50,1,50,1,50,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1
37057,NC,Davidson,103,9.698681733,0.525641026,287,1.755179921,3,0.01800569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,409,3.271851073,113,405,2.47682184,35,248,1.516671151,28,27,0.165121456,0,6,33000,201.8151129,,12,20,775000,1
37059,NC,Davie,47,7.34375,0.417981073,106,2.565033273,3,0.070203356,0,0,0,0,0,0,0,0,2,66.66666412,3,100,3,100,3,100,3,100,24,48,0.992135511,24,,,23,101,2.444041137,15,22,0.532365396,1,1,,,,9,15,109000,1
37061,NC,Duplin,40,4.255319149,0.027655452,353,5.923315714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,4824,49.80283581,30,4005,67.20362447,34,214,3.590905277,15,181,3.037167548,2,2,,,,10,11,,1
37063,NC,Durham,41,17.67241379,1.223404255,115,0.406915439,6,0.018943042,2,33.33333206,1,16.66666603,0,0,1,16.66666603,5,83.33333588,6,100,5,83.33333588,3,50,3,50,35,55,0.2901484,35,,,7,22,0.077844693,11,19,0.067229507,0,2,,,2,8,15,230000,1
37065,NC,Edgecombe,17,6.25,0.035250987,55,0.986812595,1,0.01922892,0,0,1,100,0,0,0,0,0,0,1,100,1,100,1,100,1,100,17,2821,84.84794115,14,1196,21.45868844,4,1,0.017942047,4,,,0,0,0,0,,2,8,45000,0
